M1	the Roman arithmetical symbol of 1000
m2	1(málfr.)consonant /æm:/2(st.)meter(s), metre(s)3(st.)milli-(t.d.millimetre)
m.a.	(st.)among other things, for one thing, inter alia(GG:several large cities, among themel.including London and Paris); (millum aðrar/onnur) among others
Maas	(sern., landafr.)the Meuse
Maasá	síMaas
Maastrichtsáttmálin	the Maastricht Treaty (on European Union)
machiavelliskur	Machiavellian
machmálari	(flogm.)Machmeter
Madagaskar	(sern., landafr.)Madagascar
madagaskarbúgvi	Madagasy, Madagascan
madagaskiskur	Madagascan
madonna	(the) Madonna, Virgin Mary;sí eis.Maria moy
madrassa	mattrass
madrigalur	(bókm., tónl.)madrigal
maðkaber	(sj.)(unripeel.green) crowberry
maðkaboraður	worm-eaten; maðkaboraðurviðurworm-eaten wood
maðkabrot	(barnam.)[a particular knitting stitch (plain knitting on both sides)], garter stitch
maðkadrumbur	(fisk.)quite small (young) trout
maðkafluga	bluebottle, blowfly; sískinfluga
maðkapirra	1(fisk.)símaðkadrumbur2(fisk., stb.)tiny coalfish; fry of coalfish
maðkasíl	(fisk.)símaðkadrumbur
maðkasmogin	infested with maggots;tjógvið er maðkasmogiðthe leg is infested with maggots
maðkatíð	[the time of year when there are many maggots]
maðkatos	rustling sound of a heap of maggots
maðkatræ	(sj.)worm-eaten piece of wood
maðkaveður	mild, damp (wetel.rainy) weather (when there is a risk of the hung-up meat becoming maggot infested)
maðketin	worm-eaten; infested with maggots
maðkur	1maggot;sum maðkur í grunningshøvdi el. høvdarúgvuel.tarabrúgvin extraordinarily large numbers;(tilt.) móður sum maðkurvery tired/dead tired/dead beat2earthworm3(barnam.)nose pick
maður	1man, human being, person;ungur maðura young man;gamal maðuran old man;rættur maðura real man;flykrurnar eru sum mennthe snowflakes are as large as grown men;tríggir mansthree men;lítli maðurgood boy;lítið (einki) til manna(r)weak/frail;koma til manscome of age; grow up;tað er til mans at leita at koma til míncouldn't you find a better man than me to ask (said self-ironically),ikki maður fyri (e-m)not capable of (doing sth); maðurvar hann fyri báðumhe won them both;Mikkjal var annar maðurinMikkjal was much more capable (than the other man);eg verði valla maður afturI don't expect ever to become my old self again;vera minni maður(in)be inferior to sby(el.be sby's inferior);hann er maður fyri seghe is afraid of no man;onkuntíð verður tú maðurpeople will talk about you some day (said to a small boy who has done sth commendable);hann gongur fyri mann í Arnfinsstovuat Arnfinsstova (a farm) he's looked upon as a grown man (of a boy);(speis.) tú ert tann maðurin, ið er!you are a good-for-nothing; you call yourself a man?2husband, spouse;maður mínmy husband;vera maður og konabe husband/man and wife3human (being), person;mann á mannione person after another;fyrstur av/á mannithe very first person;síðstur av/á mannithe very last person of all;mann undan mannifrom generation to generation;vit eru ikki langt frá monnumwe are closely related;tað fór maður av húsi at leitapeople in large numbers went to look for;(orðt.) eingin kennir mannin longur enn til tanninappearances are deceptiveel.still waters run deep;maður kemur í mans stað (orðt.)when a man passes away another takes charge;í manna/mans minniin living memory;manna millum verður sagtit is rumoured that;tað er manna søgnit is said that; they/people say that, they tell me that(GG:a village legend has it that her ghost still haunts the house);maður er mans gaman (orðt.)it is a source of entertainment to be among people;vit fingu eina vørðu til manseach of us got five puffins (sívørða);sum ein maðurwith one accord, like one man, one and all;hann er okkara maðurhe sides with us1(used in the plural)tað veit menneverybody knows that; certainly!, of course!;er hon ikki inni? jú menn, var hon beint nú herisn't she in? to be sure she was here only a moment ago2(used as a pronoun) one, someone, people, they;sum maðurin segðiit was said;tað verður, sum maður metirpeople may have different opinions4(á skipi, on board a ship) able seaman, sailor;hann fór sum maður við skipinumhe signed on as an able seaman5generation;hon er 11. maður frá Heina havrekashe is the eleventh generation from Heini Havreki2(um skyldskap, of relationship, kinship)ikki vera langt frá monnumresemble one's family, be closely related;tjúgundi maður úr/í ætta distant relative of6(talv.)piece (except pawn)7(barnaspæl, child's game)lakka mann(paradís) play hopscotch
mafia	mafia
mafiumaður	mafioso(flt.mafiosi)
magabeita	[strip of (fish) stomach for bait]
magabløðing	(lækn.)hemorrhage from the stomach
magabruni	(lækn.)gastric catarrh, gastritis
magadraga	(um náta/havhestaunga og sild, of young of fulmar and herring) gut (pull out the entrails)
magaflot	(likam.)gastric juice
magagulur	(seyðal.)sígulmøgutur
magahvítur	(seyðal.)with white belly (of sheep)
magailska	stomach trouble, stomach pain, pain in the stomach
magakrabbi	(lækn.)cancer of the stomach
magakrampi	stomach cramp(s)
